都道府県名,疾患合計,Ⅰ,Ⅱ,Ⅲ,Ⅳ,Ⅴ,Ⅵ,Ⅶ,Ⅷ,Ⅸ,Ⅹ,ⅩⅠ,ⅩⅡ,ⅩⅢ,ⅩⅣ,ⅩⅤ,ⅩⅥ,ⅩⅦ,ⅩⅧ,ⅩⅨ,ⅩⅩⅡ
山口県,"986,601","12,878","111,826","6,985","69,507","47,979","72,131","30,818","3,138","233,697","48,699","76,109","11,614","83,843","57,573",4,7,435,"16,052","87,267","16,040"
徳島県,"988,034","16,129","100,475","5,766","77,704","40,897","60,678","25,866","3,187","254,922","46,397","79,454","10,528","90,081","66,124",0,0,605,"11,161","89,358","8,702"
香川県,"962,475","16,163","109,739","6,923","75,841","42,502","61,415","29,319","3,777","220,923","45,167","85,028","11,077","88,795","62,364",1,0,500,"12,363","82,346","8,232"
愛媛県,"922,697","12,953","103,057","6,036","70,445","32,768","48,854","29,876","2,768","237,183","45,634","70,209","8,785","88,442","62,287",2,31,551,"12,923","81,913","7,983"
高知県,"1,070,982","13,301","100,890","6,107","68,305","51,227","84,614","29,525","2,458","293,534","51,040","68,492","12,241","103,937","65,374",0,0,591,"12,237","97,587","9,520"
福岡県,"1,099,819","15,562","116,951","6,130","70,993","50,646","77,194","29,363","3,257","266,762","58,469","83,487","12,818","95,199","73,329",8,0,510,"12,128","111,163","15,849"
佐賀県,"1,069,672","17,504","108,992","6,704","78,431","51,273","79,633","32,333","2,984","272,848","54,105","75,625","11,659","81,787","61,470",2,0,716,"9,660","104,524","19,421"
長崎県,"1,057,311","16,006","109,904","6,710","65,243","58,229","74,486","34,124","3,936","263,173","52,051","86,601","12,845","92,904","60,748",0,0,771,"10,369","97,328","11,883"
熊本県,"1,035,114","12,547","101,447","5,555","68,607","56,638","71,908","29,262","2,896","257,575","51,627","79,201","11,236","83,648","70,664",3,0,485,"12,164","102,737","16,912"
大分県,"1,028,646","14,512","111,050","7,232","70,888","44,445","77,879","23,752","3,151","253,812","52,712","74,211","11,350","90,553","65,240",5,0,515,"11,774","102,485","13,080"
宮崎県,"881,926","11,747","88,953","6,004","55,946","47,613","66,417","28,410","2,513","235,903","37,432","64,792","10,362","77,898","59,883",20,0,347,"9,137","69,398","9,153"
鹿児島県,"1,084,931","13,787","114,486","4,975","65,760","59,781","85,291","30,448","3,187","290,080","47,081","66,283","11,091","97,791","65,533",1,0,510,"8,842","106,281","13,723"
沖縄県,"1,004,364","17,328","86,710","5,692","55,622","50,796","67,498","29,164","2,325","258,883","64,192","64,275","13,929","79,858","71,618",1,0,710,"11,671","102,213","21,879"
